[2026-07-06T08:08:32.571Z] [INFO] Starting REMOTE API on port 3001...
[2026-07-06T08:08:32.623Z] [INFO] Remote clock calibrated {"state":"synchronized","offsetMs":402,"roundTripMs":44}
Starting server on port 3001...
Server running at http://localhost:3001
[2026-07-06T08:08:34.286Z] [INFO] GET / - 0ms
[2026-07-06T08:08:35.849Z] [INFO] GET / - 0ms
[2026-07-06T08:08:37.410Z] [INFO] GET / - 0ms
[2026-07-06T08:08:38.821Z] [INFO] GET / - 0ms
[2026-07-06T08:08:39.196Z] [INFO] GET /health - 10ms
[2026-07-06T08:08:40.226Z] [INFO] GET / - 0ms
[2026-07-06T08:08:41.629Z] [INFO] GET / - 1ms
[2026-07-06T08:08:43.035Z] [INFO] GET / - 0ms
[2026-07-06T08:08:44.440Z] [INFO] GET / - 0ms
[2026-07-06T08:08:46.001Z] [INFO] GET / - 0ms
[2026-07-06T08:08:47.574Z] [INFO] GET / - 0ms
[2026-07-06T08:08:49.058Z] [INFO] GET / - 0ms
[2026-07-06T08:08:50.460Z] [INFO] GET / - 0ms
[2026-07-06T08:08:51.972Z] [INFO] GET / - 0ms
[2026-07-06T08:08:53.436Z] [INFO] GET / - 0ms
[2026-07-06T08:08:55.485Z] [INFO] GET / - 0ms
[2026-07-06T08:08:56.949Z] [INFO] GET / - 0ms
[2026-07-06T08:08:58.401Z] [INFO] GET / - 0ms
[2026-07-06T08:08:58.774Z] [INFO] [SECURITY] AUTH:DEVICE_LOGIN_SUCCESS - Success: true
[2026-07-06T08:08:58.776Z] [INFO] POST /auth/device-login - 27ms
[2026-07-06T08:08:59.019Z] [INFO] GET /sync/changes - 9ms
[2026-07-06T08:08:59.025Z] [INFO] GET /sync/changes - 0ms
[Diagnostic Log] Remote received 1 events: {
  cliente: 1,
}
[2026-07-06T08:08:59.036Z] [INFO] POST /sync/upload-events - 4ms
[2026-07-06T08:08:59.808Z] [INFO] GET / - 0ms
[2026-07-06T08:09:01.206Z] [INFO] GET / - 0ms
[2026-07-06T08:09:02.613Z] [INFO] GET / - 0ms
[2026-07-06T08:09:04.128Z] [INFO] GET / - 0ms
[2026-07-06T08:09:05.533Z] [INFO] GET / - 0ms
[2026-07-06T08:09:05.725Z] [INFO] GET /system/time - 2ms
[2026-07-06T08:09:05.793Z] [INFO] [SECURITY] AUTH:DEVICE_LOGIN_SUCCESS - Success: true
[2026-07-06T08:09:05.793Z] [INFO] POST /auth/device-login - 15ms
[2026-07-06T08:09:05.812Z] [INFO] GET /sync/changes - 18ms
