[2026-07-06T07:56:47.546Z] [INFO] Starting REMOTE API on port 3001...
[2026-07-06T07:56:47.590Z] [INFO] Remote clock calibrated {"state":"synchronized","offsetMs":430,"roundTripMs":38}
Starting server on port 3001...
Server running at http://localhost:3001
[2026-07-06T07:56:47.677Z] [INFO] GET / - 0ms
[2026-07-06T07:56:49.081Z] [INFO] GET / - 0ms
[2026-07-06T07:56:51.101Z] [INFO] GET / - 0ms
[2026-07-06T07:56:52.522Z] [INFO] GET / - 0ms
[2026-07-06T07:56:53.075Z] [INFO] GET /system/time - 3ms
[2026-07-06T07:56:53.938Z] [INFO] GET / - 0ms
[2026-07-06T07:56:55.393Z] [INFO] GET / - 0ms
[2026-07-06T07:56:56.795Z] [INFO] GET / - 1ms
[2026-07-06T07:56:58.198Z] [INFO] GET / - 0ms
[2026-07-06T07:56:59.270Z] [INFO] GET /system/time - 14ms
[2026-07-06T07:56:59.343Z] [INFO] [SECURITY] AUTH:DEVICE_LOGIN_SUCCESS - Success: true
[2026-07-06T07:56:59.344Z] [INFO] POST /auth/device-login - 26ms
[2026-07-06T07:56:59.353Z] [INFO] GET /sync/changes - 8ms
[2026-07-06T07:56:59.609Z] [INFO] GET / - 0ms
[2026-07-06T07:57:01.090Z] [INFO] GET / - 0ms
[2026-07-06T07:57:02.491Z] [INFO] GET / - 0ms
[2026-07-06T07:57:04.012Z] [INFO] GET / - 0ms
[2026-07-06T07:57:05.498Z] [INFO] GET / - 0ms
[2026-07-06T07:57:06.900Z] [INFO] GET / - 0ms
[2026-07-06T07:57:07.538Z] [INFO] GET /system/time - 3ms
[2026-07-06T07:57:08.312Z] [INFO] GET / - 0ms
[2026-07-06T07:57:09.735Z] [INFO] GET / - 0ms
[2026-07-06T07:57:11.138Z] [INFO] GET / - 0ms
[2026-07-06T07:57:12.680Z] [INFO] GET / - 1ms
[2026-07-06T07:57:14.149Z] [INFO] GET / - 0ms
[2026-07-06T07:57:14.691Z] [INFO] GET /system/time - 3ms
[2026-07-06T07:57:15.563Z] [INFO] GET / - 0ms
[2026-07-06T07:57:17.014Z] [INFO] GET / - 1ms
[2026-07-06T07:57:18.428Z] [INFO] GET / - 0ms
[2026-07-06T07:57:19.829Z] [INFO] GET / - 0ms
[2026-07-06T07:57:21.369Z] [INFO] GET / - 0ms
[2026-07-06T07:57:22.885Z] [INFO] GET / - 1ms
[2026-07-06T07:57:24.404Z] [INFO] GET / - 0ms
[2026-07-06T07:57:25.805Z] [INFO] GET / - 0ms
